customerid,customer_name,country,state,gender,dob,interests,pincode,subscription_start_date,subscription_type,plan_type,contract_type,renewal_date,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,ticket_id,complaint_date,escalations,csat_score,complaint_count
0044-TPRPM,Priya Chaudhary,Nepal,Lumbini,Male,1993-10-26,"Movies, Sports",32925,2025-12-17,Refferal,basic,Annually,2027-02-05,2026-07-11,Too expensive,21.99,467.0,85,1,17.0,2026-05-19,Y,3.0,1.0
0045-JZKUX,Arjun Singh,India,Assam,Male,1978-09-27,Web Series,781080,2023-11-03,Paid,premium,Monthly,2027-03-26,,,13.99,882.0,15,0,,,,,
0046-BDQVN,Kiran Singh,India,Delhi,Female,2004-12-21,Sports,110654,2023-08-13,Paid,basic,Annually,2027-06-12,,,19.99,787.0,27,0,,,,,
0047-LWVAR,John Karki,Nepal,Sudurpashchim,Female,1978-01-12,Sports,10924,2026-03-12,Paid,standard,Monthly,2026-11-10,2026-07-11,Content fatigue,24.99,1004.0,71,1,18.0,2026-05-12,Y,2.0,1.0
0048-VOTQJ,Sunita Joshi,Nepal,Gandaki,Male,1980-01-14,Web Series,33776,2026-06-23,Organic,standard,Annually,2026-07-30,2026-05-20,Switched to competitor,15.99,1137.0,95,1,308.0,2026-05-13,Y,1.0,2.0
0049-TNIYB,Sanjay Adhikari,Nepal,Madhesh,Male,1978-11-05,Sports,44326,2024-01-10,Paid,standard,Annually,2027-01-11,,,27.99,1527.0,22,0,,,,,
0050-BOAGN,Neha Karki,India,Karnataka,Female,1975-02-10,Web Series,560121,2023-10-02,Refferal,premium,Annually,2027-04-23,2026-04-30,Too expensive,22.99,1021.0,71,1,309.0,2026-04-21,Y,1.0,2.0
0051-KHEKT,Sneha Singh,India,Delhi,Male,1976-02-12,"Documentaries, Live TV",110891,2025-10-27,Refferal,premium,Monthly,2027-03-30,2026-06-11,Too expensive,12.99,534.0,82,1,310.0,2026-06-08,Y,1.0,2.0
0052-JLCZR,Kavita Maharjan,India,Karnataka,Male,1974-06-20,Sports,560654,2026-04-01,Paid,basic,Annually,2026-10-25,2026-06-07,Switched to competitor,17.99,1357.0,88,1,311.0,2026-05-31,Y,1.0,2.0
0053-ANXIO,Pooja Singh,India,Delhi,Male,1979-07-16,"Movies, Sports",110170,2025-07-23,Paid,premium,Monthly,2027-07-06,2026-04-21,Content fatigue,23.99,1004.0,83,1,312.0,2026-04-19,Y,1.0,2.0
0054-PYMLQ,Sarah Gupta,Nepal,Bagmati,Male,1979-02-25,"Documentaries, Live TV",44703,2023-08-28,Refferal,basic,Monthly,2027-05-30,2026-06-10,Too expensive,12.99,556.0,94,1,24.0,2026-05-29,Y,3.0,1.0
0055-CLTDP,Rohan Kumar,Nepal,Kathmandu,Female,1988-09-29,"Movies, Sports",44662,2025-11-04,Organic,basic,Monthly,2027-03-20,,,19.99,126.0,5,0,175.0,2026-05-16,N,3.0,1.0
0056-XRBTL,Sunita Tamang,India,Tamil Nadu,Male,2000-10-25,"Movies, Sports",600159,2025-03-16,Paid,standard,Annually,2026-11-10,,,28.99,1127.0,10,0,176.0,2026-02-12,N,5.0,1.0
0057-TGSXH,Rahul Karki,Nepal,Kathmandu,Male,1990-06-29,Web Series,44699,2026-05-23,Refferal,basic,Annually,2026-08-30,,,13.99,1049.0,28,0,177.0,2025-11-19,N,5.0,1.0
0058-WWSJJ,Vikram Joshi,Nepal,Gandaki,Male,1976-06-06,Sports,33772,2024-01-02,Refferal,basic,Annually,2027-01-19,2026-07-11,Too expensive,28.99,771.0,94,1,313.0,2026-07-02,Y,1.0,2.0
0059-MRQHD,Ravi Lama,Nepal,Madhesh,Male,1983-07-26,Web Series,44308,2025-11-01,Paid,premium,Monthly,2027-03-27,,,10.99,1300.0,18,0,178.0,2026-02-26,N,5.0,1.0
0060-QONBQ,John Gurung,India,Punjab,Male,1972-07-23,Sports,144234,2024-08-31,Refferal,basic,Monthly,2027-05-22,,,16.99,1492.0,18,0,,,,,
0061-GTBBR,Rohan Chaudhary,India,Telangana,Female,1973-07-25,Web Series,500546,2025-02-19,Organic,standard,Annually,2026-12-01,2026-07-10,Too expensive,16.99,599.0,93,1,26.0,2026-05-27,Y,1.0,1.0
0062-QJNJQ,John Lama,Nepal,Gandaki,Female,1985-10-31,Web Series,33792,2023-11-05,Organic,premium,Monthly,2027-03-24,,,17.99,1212.0,26,0,179.0,2026-05-26,N,5.0,1.0
0063-FZNEV,Rahul Gupta,Nepal,Madhesh,Female,1986-10-06,"Documentaries, Live TV",44394,2026-07-10,Refferal,standard,Monthly,2026-07-19,,,17.99,490.0,21,0,,,,,
0064-NLPGT,Sneha Thapa,Nepal,Lumbini,Female,1993-11-28,"Movies, Sports",32946,2024-04-01,Refferal,basic,Annually,2026-10-23,,,27.99,589.0,30,0,,,,,
0065-MUYDG,Pooja Shrestha,Nepal,Madhesh,Female,1988-10-18,"Movies, Sports",44396,2025-04-21,Organic,basic,Annually,2026-10-05,,,10.99,1049.0,17,0,180.0,2026-05-09,N,5.0,1.0
0066-GDOOC,Amit Rai,India,Kerala,Female,1988-05-10,Web Series,695340,2025-01-10,Refferal,basic,Monthly,2027-01-12,,,26.99,450.0,9,0,181.0,2026-05-13,N,4.0,1.0
0067-GDKKE,Amit Thapa,Nepal,Lumbini,Female,1988-03-23,Web Series,32976,2026-05-08,Paid,premium,Monthly,2026-09-16,,,10.99,194.0,5,0,182.0,2026-05-01,N,4.0,1.0
0068-SKMRW,Rahul Sharma,India,Maharashtra,Female,1982-07-21,"Documentaries, Live TV",400671,2024-01-13,Refferal,standard,Monthly,2027-01-08,,,20.99,738.0,67,0,183.0,2025-09-21,Y,5.0,1.0
0069-ECWZN,Sunita Joshi,India,Kerala,Female,2003-10-12,Sports,695218,2025-08-05,Paid,standard,Monthly,2027-06-17,,,25.99,1508.0,24,0,184.0,2026-01-10,N,5.0,1.0
0070-CXZVA,Vikram Gupta,Nepal,Madhesh,Male,1984-01-24,Sports,44306,2024-05-12,Organic,basic,Annually,2026-09-12,,,12.99,1059.0,30,0,,,,,
0071-YZTTY,Priya Thapa,India,Delhi,Male,1973-08-17,Web Series,110351,2025-06-23,Organic,standard,Annually,2026-08-05,,,10.99,1489.0,24,0,185.0,2026-06-02,N,5.0,1.0
0072-DUXEN,Amit Magar,India,Tamil Nadu,Male,1974-12-25,Sports,600020,2024-12-04,Organic,premium,Monthly,2027-02-20,,,11.99,1348.0,29,0,,,,,
0073-ZQLZH,Sarah Sharma,India,Odisha,Female,2001-05-04,Sports,751709,2024-11-19,Paid,standard,Annually,2027-03-07,2026-04-15,Too expensive,26.99,521.0,95,1,314.0,2026-04-12,Y,1.0,2.0
0074-YRZQW,Sanjay Shah,Nepal,Karnali,Male,1999-02-27,"Movies, Sports",21253,2024-12-06,Organic,standard,Monthly,2027-02-20,2026-05-07,Too expensive,13.99,1288.0,76,1,28.0,2026-04-04,Y,2.0,1.0
0075-EOFJB,Aisha Singh,Nepal,Bagmati,Male,1978-08-17,Sports,44760,2024-12-27,Paid,premium,Monthly,2027-01-30,2026-07-02,Switched to competitor,17.99,656.0,71,1,315.0,2026-06-29,Y,1.0,2.0
0076-SLOCJ,John Adhikari,Nepal,Bagmati,Male,1992-12-26,Web Series,44747,2026-01-18,Organic,basic,Monthly,2027-01-04,,,24.99,838.0,11,0,,,,,
0077-TRIKY,Sarah Patel,India,Madhya Pradesh,Female,1991-01-22,Web Series,462708,2025-03-13,Refferal,standard,Annually,2026-11-09,,,24.99,743.0,24,0,186.0,2025-10-11,N,5.0,1.0
0078-SFADZ,Sarah Smith,Nepal,Koshi,Male,1979-12-07,"Movies, Sports",56726,2025-10-16,Refferal,basic,Monthly,2027-04-10,2026-05-01,Switched to competitor,10.99,546.0,92,1,316.0,2026-04-30,Y,1.0,2.0
0079-YLHZT,Arjun Sharma,India,Delhi,Female,1992-10-25,Sports,110586,2026-05-16,Refferal,premium,Monthly,2026-09-10,,,18.99,1568.0,4,0,187.0,2026-02-02,N,3.0,1.0
0080-PPZCR,Sneha Shah,Nepal,Karnali,Male,1976-02-13,Sports,21295,2026-04-10,Organic,basic,Annually,2026-10-14,,,17.99,603.0,23,0,188.0,2026-04-28,N,5.0,1.0
0081-PUYWJ,John Lama,Nepal,Sudurpashchim,Male,1989-02-05,"Documentaries, Live TV",10965,2025-08-31,Organic,premium,Monthly,2027-05-26,,,15.99,1220.0,26,0,,,,,
0082-VXCNC,Sneha Rai,India,Gujarat,Female,1983-06-03,Web Series,395155,2025-05-19,Paid,premium,Monthly,2026-09-07,2026-06-15,Too expensive,10.99,222.0,78,1,317.0,2026-06-11,Y,1.0,2.0
0083-OIFNH,Sneha Sharma,India,Assam,Male,2002-10-04,"Documentaries, Live TV",781618,2026-03-08,Paid,standard,Monthly,2026-11-16,,,17.99,1530.0,21,0,189.0,2026-02-19,N,4.0,1.0
0084-NYYPO,Kavita Adhikari,India,Rajasthan,Male,1988-04-30,Sports,302353,2024-01-02,Refferal,premium,Monthly,2027-01-23,2026-04-28,Too expensive,12.99,686.0,85,1,32.0,2026-03-11,Y,2.0,1.0
0085-IPTSA,Rahul Singh,India,Kerala,Female,1972-12-18,"Documentaries, Live TV",695342,2023-10-07,Paid,standard,Monthly,2027-04-18,2026-06-14,Too expensive,26.99,188.0,93,1,318.0,2026-06-12,Y,1.0,2.0
0086-SLFPG,Sunita Lama,India,Gujarat,Female,2005-07-25,"Movies, Sports",395490,2025-03-21,Paid,premium,Monthly,2026-11-05,,,25.99,442.0,7,0,,,,,
0087-WAJUH,Gaurav Gurung,Nepal,Bagmati,Male,1982-05-01,"Documentaries, Live TV",44724,2024-11-04,Organic,premium,Annually,2027-03-20,,,20.99,919.0,17,0,190.0,2026-06-16,N,4.0,1.0
0088-MGVSP,Neha Karki,India,Odisha,Female,1999-08-14,Sports,751505,2026-05-05,Refferal,premium,Monthly,2026-09-17,,,12.99,812.0,29,0,191.0,2026-04-25,N,4.0,1.0
0089-DDWHG,Vikram Joshi,Nepal,Karnali,Male,2004-01-15,"Documentaries, Live TV",21230,2025-07-20,Organic,standard,Annually,2027-07-05,,,20.99,693.0,3,0,,,,,
0090-AHAEG,Amit Patel,Nepal,Lumbini,Female,1996-03-09,Sports,32913,2025-04-29,Refferal,standard,Monthly,2026-09-23,,,26.99,1500.0,10,0,,,,,
0091-WSIMU,Anjali Smith,India,Madhya Pradesh,Female,1979-03-17,Web Series,462577,2023-11-29,Refferal,basic,Annually,2027-02-28,2026-05-19,Too expensive,12.99,235.0,96,1,34.0,2026-04-17,Y,3.0,1.0
0092-ODJIW,Anjali Shah,India,Punjab,Female,1974-05-11,"Movies, Sports",144559,2026-05-15,Paid,basic,Monthly,2026-09-11,,,21.99,226.0,24,0,,,,,
0093-AHRXX,Priya Magar,India,Telangana,Male,1997-02-03,"Movies, Sports",500781,2025-03-08,Refferal,basic,Monthly,2026-11-16,2026-05-28,Switched to competitor,16.99,472.0,71,1,35.0,2026-04-22,Y,1.0,1.0
0094-HRVRW,Aisha Shrestha,Nepal,Bagmati,Male,1993-09-06,"Movies, Sports",44748,2026-05-03,Organic,standard,Annually,2026-09-25,,,25.99,243.0,7,0,192.0,2026-04-12,N,5.0,1.0
0095-JKARE,John Sharma,Nepal,Bagmati,Female,1971-02-09,Sports,44760,2024-11-24,Refferal,standard,Annually,2027-02-28,,,28.99,1305.0,10,0,,,,,
0096-TWIII,Sarah Thapa,Nepal,Koshi,Female,1994-11-06,Sports,56754,2026-01-28,Organic,premium,Monthly,2026-12-29,,,10.99,452.0,17,0,193.0,2026-02-26,N,3.0,1.0
0097-HMDJO,Aisha Smith,Nepal,Kathmandu,Male,1976-12-31,Web Series,44622,2025-02-03,Organic,standard,Annually,2026-12-19,,,15.99,1411.0,25,0,194.0,2026-06-25,N,4.0,1.0
0098-QBPNT,Rohan Magar,Nepal,Lumbini,Male,1973-07-29,"Documentaries, Live TV",32981,2024-10-23,Organic,premium,Annually,2027-04-05,,,15.99,285.0,23,0,195.0,2025-11-05,N,4.0,1.0
0099-EBLQM,Gaurav Maharjan,Nepal,Koshi,Female,1997-01-02,"Movies, Sports",56714,2024-01-21,Paid,basic,Annually,2027-01-06,,,19.99,413.0,7,0,196.0,2026-03-21,N,3.0,1.0
0100-JGPTX,Ruhul Karki,India,Odisha,Male,1974-07-24,"Documentaries, Live TV",751791,2024-05-17,Organic,basic,Annually,2026-09-05,,,22.99,147.0,18,0,197.0,2026-03-22,N,4.0,1.0
0101-MUZBX,Sunita Joshi,India,Maharashtra,Male,1987-04-12,"Documentaries, Live TV",400865,2024-05-24,Organic,basic,Annually,2026-09-02,,,16.99,769.0,28,0,,,,,
0102-WWRBL,Kiran Shrestha,Nepal,Koshi,Male,1986-07-16,"Documentaries, Live TV",56728,2025-09-10,Refferal,premium,Annually,2027-05-12,,,12.99,523.0,20,0,198.0,2026-02-08,N,5.0,1.0
0103-RWKXH,Priya Adhikari,Nepal,Lumbini,Male,1984-08-06,Web Series,32901,2024-10-12,Organic,basic,Monthly,2027-04-10,2026-05-11,Content fatigue,17.99,510.0,91,1,36.0,2026-04-20,Y,2.0,1.0
0104-LKVOP,Neha Yadav,India,Madhya Pradesh,Male,1978-12-07,"Movies, Sports",462686,2026-07-05,Paid,premium,Annually,2026-07-18,,,21.99,979.0,10,0,199.0,2026-05-06,N,4.0,1.0
0105-NFHSL,Priya Tamang,Nepal,Koshi,Male,1972-05-21,Sports,56740,2025-12-25,Organic,basic,Annually,2027-01-26,2026-04-10,Too expensive,22.99,1207.0,77,1,37.0,2026-02-15,Y,3.0,1.0
0106-KDUVO,Rahul Gupta,India,Delhi,Female,1975-07-20,Web Series,110587,2023-11-03,Refferal,standard,Monthly,2027-03-22,2026-04-07,Content fatigue,11.99,598.0,74,1,38.0,2026-04-04,Y,1.0,1.0
0107-HPJJU,Amit Maharjan,India,Uttar Pradesh,Male,1978-11-26,Web Series,226795,2025-09-26,Paid,premium,Annually,2027-04-30,,,21.99,807.0,28,0,,,,,
0108-PXXUR,Aisha Singh,Nepal,Kathmandu,Female,1984-06-23,Web Series,44636,2024-07-23,Organic,premium,Monthly,2027-07-02,,,26.99,564.0,28,0,,,,,
0109-CHOXA,Sarah Yadav,India,Uttar Pradesh,Female,1993-07-04,Sports,226979,2026-03-04,Refferal,standard,Monthly,2026-11-20,,,13.99,1162.0,11,0,,,,,
0110-FSTKQ,Sanjay Sharma,Nepal,Madhesh,Male,1987-01-28,"Documentaries, Live TV",44312,2025-07-04,Organic,premium,Monthly,2026-07-19,,,15.99,574.0,29,0,,,,,
0111-OAACG,Kiran Gupta,India,Delhi,Male,2005-11-30,"Movies, Sports",110954,2024-09-16,Paid,basic,Annually,2027-05-12,,,22.99,111.0,17,0,200.0,2025-10-25,N,5.0,1.0
0112-ZJBHO,Anjali Chaudhary,Nepal,Gandaki,Female,1986-01-05,"Movies, Sports",33730,2025-09-25,Organic,basic,Annually,2027-05-01,2026-05-25,Too expensive,17.99,1363.0,79,1,39.0,2026-03-29,Y,2.0,1.0
0113-AZZYK,Sanjay Shrestha,India,Maharashtra,Male,1979-06-28,Web Series,400162,2025-09-01,Refferal,premium,Annually,2027-05-27,,,12.99,577.0,13,0,,,,,
0114-CWEYE,Kavita Tamang,Nepal,Gandaki,Male,1972-05-22,Web Series,33787,2025-12-28,Refferal,standard,Annually,2027-01-29,,,11.99,1587.0,2,0,,,,,
0115-NIJFA,Amit Thapa,India,Assam,Female,1983-12-05,Web Series,781144,2025-08-20,Paid,premium,Annually,2027-06-04,,,9.99,695.0,2,0,,,,,
0116-BMWYM,Rahul Patel,Nepal,Kathmandu,Male,2004-08-09,Sports,44643,2026-02-04,Organic,basic,Annually,2026-12-20,,,9.99,1057.0,21,0,201.0,2025-10-22,N,5.0,1.0
0117-KABJS,Sunita Singh,India,Telangana,Female,2001-04-17,Sports,500404,2026-06-28,Paid,basic,Annually,2026-07-31,2026-05-06,Switched to competitor,9.99,1267.0,85,1,319.0,2026-05-05,Y,1.0,2.0
0118-SGWPH,Sanjay Sharma,India,Bihar,Female,1984-01-03,"Movies, Sports",800874,2023-10-15,Paid,premium,Monthly,2027-04-08,,,14.99,874.0,3,0,,,,,
0119-SSLHE,Ruhul Yadav,Nepal,Bagmati,Female,1983-01-09,Sports,44761,2024-10-01,Refferal,basic,Annually,2027-04-21,,,27.99,191.0,17,0,,,,,
0120-YCQDA,Ruhul Yadav,India,Karnataka,Female,1999-06-17,Sports,560368,2025-12-25,Organic,premium,Monthly,2027-01-26,,,18.99,656.0,65,0,202.0,2026-06-26,Y,4.0,1.0
0121-BNLHJ,Anjali Patel,India,Telangana,Male,1977-07-02,"Documentaries, Live TV",500447,2026-04-21,Paid,basic,Annually,2026-10-07,2026-05-18,Content fatigue,11.99,773.0,93,1,41.0,2026-05-07,Y,3.0,1.0
0122-HWXXC,Aisha Lama,Nepal,Gandaki,Male,1978-04-04,Sports,33793,2026-07-12,Paid,basic,Monthly,2027-07-11,,,14.99,140.0,27,0,203.0,2025-09-27,N,3.0,1.0
0123-FYIKT,Priya Karki,India,Telangana,Male,2004-07-24,"Movies, Sports",500926,2024-12-06,Paid,premium,Monthly,2027-02-16,,,16.99,1342.0,19,0,,,,,
0124-RUBGU,Aisha Joshi,Nepal,Sudurpashchim,Male,1984-04-24,Sports,10934,2024-03-19,Refferal,standard,Monthly,2026-11-09,2026-07-09,Switched to competitor,21.99,722.0,83,1,320.0,2026-07-08,Y,1.0,2.0
0125-KTAGQ,Ruhul Chaudhary,India,Karnataka,Male,1984-07-09,"Documentaries, Live TV",560588,2023-12-30,Paid,standard,Annually,2027-01-22,,,22.99,155.0,6,0,,,,,
0126-RBNMZ,Aisha Chaudhary,Nepal,Lumbini,Female,1986-12-30,Web Series,32942,2024-07-19,Paid,basic,Monthly,2027-07-10,2026-06-11,Switched to competitor,25.99,1248.0,18,1,43.0,2026-06-10,N,3.0,1.0
0127-BWGVF,John Gupta,India,Bihar,Male,1983-11-04,"Movies, Sports",800614,2025-10-31,Refferal,premium,Monthly,2027-03-28,,,17.99,1502.0,3,0,,,,,
0128-EKKLY,Sneha Rai,Nepal,Sudurpashchim,Female,1978-10-08,"Documentaries, Live TV",10946,2025-02-02,Organic,premium,Monthly,2026-12-18,,,14.99,1460.0,6,0,,,,,
